	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:01:59-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:00-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:01-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:01-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:01-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:01-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:01-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,517,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:02-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:03-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,516,	Smoothed Temp = 91.00, 
2017-05-01T23:02:04-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:04-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:04-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:04-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:04-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:05-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:06-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:07-04:00, 	Raw gas reading:,516,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:08-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,515,	Smoothed Temp = 91.00, 
2017-05-01T23:02:08-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,514,	Smoothed Temp = 91.00, 
2017-05-01T23:02:08-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:08-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:08-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:02:09-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
